code,name,latest_close,rsi,above_ma60,volatility,pullback_5d,pullback_20d,ret_3d,tail_volume_ratio,pm_gain,min_in_am,last_5m_speed,price,pct_chg,volume_ratio,turnover,eps,profit_growth,roe,gross_margin,forecast_type,s_fund_flow,main_pct_1d,consecutive_inflow,s_lhb,lhb_count,inst_net_buy,s_chip,main_cost,inst_participation,is_hot_leader,s_pm_gain,s_pct,s_vol_turn,s_trend,s_rsi,s_forecast,s_fundamental,s_hot,s_5m_speed,total_score,sector
000682,东方电子,13.82,51.977401129943516,True,0.3621775866508689,-0.03424178895877006,-0.03424178895877006,-0.012151536812008534,0.0,0,True,0.0694444444444331,14.41,4.26917510853835,4.25287356321839,4.367816091954023,0.3692,17.53,9.26,32.1242853013,,1.171980781175383,24.857293676686993,True,0.0,,,0.15525951700134752,13.843661902681,0.3148276,0,0.0,0.0,0.49632470112216764,1.0978875820671,0.36596252735569995,0.0,0.037793840259970485,0.0,1.1318927844761721,0.45443781642532627,科技
600577,精达股份,14.13,52.51641137855581,True,0.42453477409592544,-0.09306803594351731,-0.09306803594351731,-0.05611222444889774,0.0,0,True,-0.1361470388019037,14.67,3.821656050955408,4.419540229885057,4.517241379310345,0.21,8.42,7.59,5.6969275064,,0.9832361934651135,10.748905732517178,True,0.0,,,1.0388819402152811,14.177158571668,0.4060644,0,0.0,0.0,0.8116634911142195,1.0978875820671,0.36596252735569995,0.0,-0.12801732472696498,0.0,-0.17034910684065324,0.3657738346763138,其他
002617,露笑科技,8.56,40.35714285714286,True,0.4308535921434098,-0.09704641350210974,-0.09704641350210974,-0.05934065934065924,0.0,0,True,-0.11210762331838042,8.91,4.088785046728968,4.459770114942529,4.82183908045977,0.1305,5.17,3.95,21.977478038,,0.3370736726739351,-8.677909570086198,False,0.0,,,-0.38691110155841557,8.610453950779,0.2807876,0,0.0,0.0,1.128671964507347,1.0978875820671,0.36596252735569995,0.0,-0.43457781898558834,0.0,-0.018080474934802512,0.3558129535019337,科技
000969,安泰科技,23.83,47.76674937965259,True,0.475213427522912,-0.10715623829149501,-0.10715623829149501,-0.10413533834586475,0.0,0,True,-0.08032128514056103,24.88,4.406210658833406,4.672413793103448,4.362068965517241,0.2702,-17.19,5.12,17.2062910839,,-0.15620077800713555,-3.6373399182670823,False,0.0,,,-0.3903902841657025,24.040977629507,0.2802048,0,0.0,0.0,0.9475260456097224,1.0978875820671,0.36596252735569995,0.0,-0.41334170337023607,0.0,0.18325812379072268,0.34040329171496103,科技
300360,炬华科技,17.51,47.413793103448285,True,0.27850490977401027,-0.04264625478403483,-0.04264625478403483,-0.022333891680625273,0.0,0,True,-0.1097694840834218,18.2,3.9406053683609237,3.6724137931034484,3.3850574712643677,0.93,-11.45,11.71,43.3599615628,,1.803056572295966,32.531219939739415,True,0.0,,,0.3336107924838429,17.536159091879,0.287924,0,0.0,0.0,-1.0166854683487785,1.0978875820671,0.36596252735569995,0.0,0.14119217377806298,0.0,-0.003270411738525403,0.187029492386515,科技
600361,创新新材,4.66,53.33333333333332,True,0.46907439473103946,-0.039175257731958624,-0.0968992248062015,-0.035196687370600444,0.0,0,True,-0.20703933747411307,4.82,3.433476394849788,3.5747126436781604,4.712643678160919,0.1743,-10.28,6.46,3.4163773799,,-0.17894833633391424,-11.742434989297546,False,0.0,,,0.5655125213147547,4.679174898241,0.32677,0,0.0,0.0,0.06798939165146722,1.0978875820671,0.36596252735569995,0.0,-0.2816161512384441,0.0,-0.6193896976518979,0.17961601806210373,其他
002245,蔚蓝锂芯,17.19,54.54545454545455,False,0.31958202477402425,-0.04340567612687796,-0.0642351660315732,0.007620164126612039,0.0,0,True,0.056085249579362895,17.84,3.7812681791739298,4.649425287356322,4.620689655172414,0.4452,82.05,7.13,19.8090480204,,-0.981150727168259,-18.872278174065784,False,0.0,,,0.45112693088631084,17.160436671742,0.3076092,0,0.0,0.0,1.154523386336737,-0.8539125638299665,0.36596252735569995,0.0,0.07778423433153717,0.0,1.047273991358588,0.09356694064705008,科技
300180,华峰超纤,6.54,48.87218045112781,False,0.28338237727548216,-0.07234042553191489,-0.07234042553191489,-0.022421524663677195,0.0,0,True,0.2932551319648091,6.84,4.58715596330275,3.6091954022988504,4.488505747126437,0.0541,-23.01,2.04,16.3663369618,,-0.518944617077971,-15.081355869574796,False,0.0,,,0.14144307872697537,6.547580157439,0.3125132,0,0.0,0.0,-0.09557125806930833,-0.8539125638299665,0.36596252735569995,0.0,-0.6828786841729146,0.0,2.549537369802868,0.06945041332705157,其他
002537,海联金汇,8.71,43.90243902439024,False,0.29610581623279464,-0.10758196721311464,-0.10758196721311464,-0.04180418041804168,0.0,0,True,-0.22002200220021528,9.07,4.133180252583231,3.896551724137931,4.42528735632184,0.19,354.05,4.88,14.9502330398,,-0.7118523427952137,-27.424738385319248,False,0.0,,,-0.5707012509990662,8.774193676761,0.2500008,0,0.0,0.0,0.16029011601545393,-0.8539125638299665,0.36596252735569995,0.0,0.7932899957603383,0.0,-0.7016235022837481,-0.12305711202324088,其他
002396,星网锐捷,28.67,51.88781014023733,False,0.4305195964296354,-0.08781419026407888,-0.08781419026407888,-0.05690789473684199,0.0,0,True,0.06688963210703669,29.92,4.359958144401813,3.9080459770114944,2.7873563218390807,0.5925,31.06,5.07,31.2047454411,,0.14678855697545112,-7.64606221735674,False,0.0,,,0.19759791525087259,28.733242792215,0.2651404,0,0.0,0.0,-1.2965605669641307,-0.8539125638299665,0.36596252735569995,0.0,-0.258044468327856,0.0,1.1157102870415663,-0.12668128475228865,其他
000600,建投能源,9.24,62.32394366197185,True,0.4223772508660351,-0.042487046632124326,-0.042487046632124326,-0.027368421052631597,0.0,0,True,-0.2089864158829613,9.55,3.35497835497836,3.637931034482759,4.189655172413794,0.877,231.79,14.08,27.3347862755,预增,-0.04432853143707915,-2.441039450408317,False,0.0,,,-0.23862120551526916,9.261796040261,0.2488484,0,0.0,0.0,-0.33240652044048224,1.0978875820671,-2.5617376914898995,1.0,1.3371809031162751,0.0,-0.6317227331922981,-0.1520930488764016,能源
600120,浙江东方,6.13,40.25974025974027,False,0.32072070377395917,-0.08779761904761907,-0.09852941176470587,-0.051083591331269385,0.0,0,True,-0.31347962382444194,6.36,3.7520391517128946,3.8045977011494254,4.666666666666667,0.24,96.78,4.99,4.6570981427,,0.2672662889005073,-23.728576337543096,False,0.0,,,-0.22527835459752654,6.160827623356,0.3078628,0,0.0,0.0,0.27680299229106015,-0.8539125638299665,0.36596252735569995,0.0,-0.047485198950420957,0.0,-1.2935956405268516,-0.1638350412455394,其他
300184,力源信息,10.27,40.7017543859649,False,0.409210469977731,-0.113126079447323,-0.113126079447323,-0.06805807622504534,0.0,0,True,-0.1872659176029967,10.66,3.7974683544303853,3.6839080459770113,4.160919540229885,0.1351,55.49,4.09,9.7782538644,,-0.004079621869684247,-8.419564211819585,False,0.0,,,-0.42609667917377125,10.328557295632,0.2742236,0,0.0,0.0,-0.30817293114264016,-0.8539125638299665,0.36596252735569995,0.0,-0.2570022733996393,0.0,-0.4941424097576263,-0.17414254946330984,科技
300079,数码视讯,5.62,41.86046511627906,False,0.49730160776524884,-0.1259720062208397,-0.21727019498607236,-0.058626465661641536,0.0,0,True,-0.16949152542373724,5.89,4.804270462633444,3.310344827586207,4.454022988505747,0.0172,10.34,0.58,49.5934304993,,-0.11709801209832907,-17.261996246984186,False,0.0,,,-0.5542796046090114,5.643144355886,0.2527516,0,0.0,0.0,-0.451581217022316,-0.8539125638299665,0.36596252735569995,0.0,-0.6913854547283234,0.0,-0.3815572105896629,-0.20104162439992035,其他
603118,共进股份,11.3,42.29691876750702,False,0.41354651617687616,-0.10812943962115229,-0.10812943962115229,-0.07377049180327855,0.0,0,True,-0.2540220152413286,11.78,4.247787610619456,3.1666666666666665,3.5229885057471266,0.11,529.94,1.73,11.9924289244,,-0.7166056405310277,-66.95321724462966,False,0.0,,,-0.7383300360703856,11.342652162477,0.2219212,0,0.0,0.0,-1.443079378781622,-0.8539125638299665,0.36596252735569995,0.0,1.019332153552115,0.0,-0.9169837914762969,-0.2879638600542937,其他
601137,博威合金,20.6,62.97872340425535,False,0.41171219053960706,-0.02784332232184994,-0.028301886792452713,0.010299166257969672,0.0,0,True,-0.2350728725905027,21.22,3.0097087378640652,4.155172413793103,3.82183908045977,1.09,-19.76,10.16,13.2040705595,,0.2198065418322572,-1.406804278455998,False,0.0,,,0.6471758208097635,20.760890943309,0.3972288,0,0.0,0.0,-0.09973474787888556,-0.8539125638299665,-2.5617376914898995,0.0,-0.012224222897911252,0.0,-0.7969575774775537,-0.42708016834810886,其他
